CGATS.17
LGOROWLENGTH 2
"ORIGINATOR  ""IDEAlliance GRACoL Committee"""
"FILE_DESCRIPTOR ""IDEAliance ISO 12647-7 Digital Control Strip 2008 aims for GRACoL proofing on Grade 1 coated paper"""
"CREATED  ""11/14/2008"""
"TARGET_TYPE ""IDEAliance ISO 12647-7 Digital Control Strip 2008"""
"PRINT_CONDITIONS ""See ANSI/CGATS/GRACoL TR 006-2007"""
"ILLUMINANT ""D50"""
"MEASUREMENT_GEOMETRY ""0/45"""
"OBSERVER ""CIE 2 degree"""
"SAMPLE_BACKING ""White"""
"KEYWORD ""SAMPLE_NAME"" # Patch location in IDEAliance ISO 12647-7 Digital Control Strip"
# SAMPLE_ID refers to the sample entry in file TR006_Char_Data.CSV
NUMBER_OF_FIELDS   12
BEGIN_DATA_FORMAT
SAMPLE_NAME SAMPLE_ID CMYK_C CMYK_M CMYK_Y CMYK_K XYZ_X XYZ_Y XYZ_Z LAB_L LAB_A LAB_B
END_DATA_FORMAT											
NUMBER_OF_SETS    54											
BEGIN_DATA											
A1	1091	100	0	0	60	4.19	6.26	13.07	30.05	-22.65	-28.82
B1	1095	100	100	0	60	2.27	1.94	4.96	15.18	8.84	-24.61
A2	73	100	0	0	0	14.97	22.89	52.78	54.96	-37.12	-50
B2	81	100	100	0	0	5.31	4.14	15.82	24.13	17.2	-46.14
A3	55	70	0	0	0	27.95	36.11	59.56	66.6	-25.13	-37.01
B3	61	70	70	0	0	13.89	11.77	24.68	40.84	17.09	-35.77
A4	28	30	0	0	0	55.2	61.49	68.43	82.64	-9.99	-17.85
B4	31	30	30	0	0	41.4	40.14	47.85	69.57	8.37	-19.26
A5	1075	0	100	0	60	8.74	4.9	4.34	26.45	41.59	-1.73
B5	1175	0	100	100	60	7.92	4.82	1.16	26.22	35.38	24.54
A6	9	0	100	0	0	32.98	16.74	14.97	47.93	74.11	-3.01
B6	657	0	100	100	0	30.69	16.3	2.28	47.37	68.25	48.79
A7	7	0	70	0	0	42.67	28.51	26.69	60.35	51.93	-5.67
B7	493	0	70	70	0	39.46	27.13	7.57	59.09	47.55	39.25
A8	4	0	30	0	0	63.19	56.73	51.49	80.03	20.38	-5.35
B8	247	0	30	30	0	59.53	54.27	31.4	78.62	17.92	18.2
A9	1171	0	0	100	60	15.67	17.22	2.47	48.53	-5.3	49.19
B9	1191	100	0	100	60	2.73	5.63	2.78	28.47	-39.38	12.04
A10	649	0	0	100	0	69.04	74.04	6.97	88.94	-5.02	93.17
B10	721	100	0	100	0	7.84	18.52	7.27	50.12	-68.43	25
A11	487	0	0	70	0	72.54	77.52	17.88	90.56	-4.57	63.58
B11	541	70	0	70	0	20.36	31.22	15.57	62.69	-41.44	20.96
A12	244	0	0	30	0	78.37	82.6	44.56	92.84	-2.51	24.77
B12	271	30	0	30	0	50.04	57.82	40.96	80.64	-14.75	8.25
A13	397	100	0	40	0	10.96	20.62	26.8	52.53	-53.19	-19.34
B13	77	100	40	0	0	10.16	12.87	34.23	42.57	-16.27	-48.19
A14	45	40	100	0	0	17.83	10.03	15.68	37.89	52.56	-22.07
B14	333	0	100	40	0	32.51	17.02	8.31	48.28	70.95	17.76
A15	653	0	40	100	0	48.41	42.01	4.78	70.88	22.91	72.4
B15	685	40	0	100	0	35.13	44.71	6.99	72.7	-25.21	65.09
A16	1023	0	40	70	40	21.53	19.15	5.73	50.86	15.13	33.06
B16	338	10	40	40	0	46.25	41.08	22.68	70.23	19.71	18.63
A17	999	0	70	40	40	17.7	12.61	6.8	42.17	33.42	13.25
B17	511	20	70	70	0	29.19	21.41	7.78	53.4	36.61	28.63
A18	959	40	70	0	40	10.82	8.3	11.73	34.6	23.09	-17.15
B18	1024	0	70	70	40	16.99	12.25	3.93	41.61	32.01	26.83
A19	1031	40	0	70	40	16.4	20.55	8	52.45	-18.04	26.12
B19	1011	70	0	40	40	10.46	14.83	13.61	45.4	-26.2	-3.82
A20	963	70	40	0	40	8.8	9.3	16.62	36.56	-1.43	-26.62
B20	1	0	0	0	0	84.47	87.62	74.52	95	-0.02	-1.96
A21	1365	0	0	0	3	79.69	82.69	70.37	92.88	-0.08	-1.96
B21	NA	3.1	2.2	2.2	0	78.84	81.67	69.62	92.43	0.19	-2.06
A22	1362	0	0	0	10	69.25	71.92	61.32	87.93	-0.2	-1.98
B22	NA	10.2	7.4	7.4	0	67.13	69.48	59.31	86.74	0.31	-2.04
A23	1359	0	0	0	25	50.23	52.25	44.67	77.43	-0.4	-1.93
B23	NA	25	19	19	0	47.38	49.11	41.68	75.52	0.07	-1.5
A24	1356	0	0	0	50	26.74	27.87	23.85	59.77	-0.53	-1.61
B24	1611	50	40	40	0	24.54	25.48	21.74	57.54	-0.12	-1.44
A25	1353	0	0	0	75	10.63	11.1	9.45	39.75	-0.57	-1.02
B25	NA	75	66	66	0	10.46	10.89	9.14	39.39	-0.3	-0.55
A26	1350	0	0	0	90	4.42	4.6	3.88	25.57	-0.21	-0.53
B26	729	100	100	100	0	3.68	3.8	3.17	23	0.17	-0.25
A27	1260	0	0	0	100	1.84	1.9	1.58	14.95	0.19	-0.14
B27	NA	80	70	70	100	0.91	0.94	0.75	8.46	0.34	0.44
END_DATA											
 											
