P2P	25	Dithered		
LGOROWLENGTH	12			
NUMBER_OF_FIELDS	5			
BEGIN_DATA_FORMAT				
Sample_Name	CMYK_C	CMYK_M	CMYK_Y	CMYK_K
END_DATA_FORMAT				
NUMBER_OF_SETS	300			
BEGIN_DATA				
H16	62.35	38.04	60.39	0
I16	37.65	22.75	32.55	0
J16	12.55	6.27	10.59	0
K16	74.9	44.71	78.04	0
L16	87.45	59.61	90.98	0
A17	0	30.2	30.2	0
B17	30.2	0	30.2	0
C17	30.2	30.2	0	0
D17	0	0	0	65.1
E17	65.1	55.29	55.29	0
F17	49.8	35.29	45.49	0
G17	25.1	16.47	21.18	0
H17	62.35	45.1	60.39	0
I17	37.65	26.27	32.55	0
J17	12.55	7.84	10.59	0
K17	74.9	54.9	78.04	0
L17	87.45	70.98	90.98	0
A18	0	40	40	0
B18	40	0	40	0
C18	40	40	0	0
D18	0	0	0	69.8
E18	69.8	60.39	60.39	0
F18	49.8	40	45.49	0
G18	25.1	18.82	21.18	0
H18	62.35	52.55	60.39	0
I18	37.65	29.41	32.55	0
J18	12.55	9.02	10.59	0
K18	74.9	65.88	78.04	0
L18	87.45	81.18	90.98	0
A19	0	49.8	49.8	0
B19	49.8	0	49.8	0
C19	49.8	49.8	0	0
D19	0	0	0	74.9
E19	74.9	65.88	65.88	0
F19	49.8	45.49	45.49	0
G19	25.1	21.18	21.18	0
H19	62.35	60.39	60.39	0
I19	37.65	32.55	32.55	0
J19	12.55	10.59	10.59	0
K19	74.9	78.04	78.04	0
L19	87.45	90.98	90.98	0
A20	0	60	60	0
B20	60	0	60	0
C20	60	60	0	0
D20	0	0	0	80
E20	80	71.76	71.76	0
F20	49.8	50.98	45.49	0
G20	25.1	23.53	21.18	0
H20	62.35	68.63	60.39	0
I20	37.65	36.08	32.55	0
J20	12.55	12.16	10.59	0
K20	74.9	92.94	78.04	0
L20	87.45	100	90.98	0
A21	0	69.8	69.8	0
B21	69.8	0	69.8	0
C21	69.8	69.8	0	0
D21	0	0	0	85.1
E21	85.1	78.04	78.04	0
F21	49.8	30.59	50.98	0
G21	25.1	14.51	23.53	0
H21	62.35	38.04	68.63	0
I21	37.65	22.75	36.08	0
J21	12.55	6.27	12.16	0
K21	74.9	44.71	92.94	0
L21	87.45	59.61	100	0
A22	0	80	80	0
B22	80	0	80	0
C22	80	80	0	0
D22	0	0	0	89.8
E22	89.8	84.31	84.31	0
F22	49.8	35.29	50.98	0
G22	25.1	16.47	23.53	0
H22	62.35	45.1	68.63	0
I22	37.65	26.27	36.08	0
J22	12.55	7.84	12.16	0
K22	74.9	54.9	92.94	0
L22	87.45	70.98	100	0
A23	0	89.8	89.8	0
B23	89.8	0	89.8	0
C23	89.8	89.8	0	0
D23	0	0	0	94.9
E23	94.9	92.16	92.16	0
F23	49.8	40	50.98	0
G23	25.1	18.82	23.53	0
H23	62.35	52.55	68.63	0
I23	37.65	29.41	36.08	0
J23	12.55	9.02	12.16	0
K23	74.9	65.88	92.94	0
L23	87.45	81.18	100	0
A24	0	94.9	94.9	0
B24	94.9	0	94.9	0
C24	94.9	94.9	0	0
D24	0	0	0	98.04
E24	98.04	96.86	96.86	0
F24	49.8	45.49	50.98	0
G24	25.1	21.18	23.53	0
H24	62.35	60.39	68.63	0
I24	37.65	32.55	36.08	0
J24	12.55	10.59	12.16	0
K24	74.9	78.04	92.94	0
L24	87.45	90.98	100	0
A25	0	100	100	0
B25	100	0	100	0
C25	100	100	0	0
D25	0	0	0	100
E25	100	100	100	0
F25	49.8	50.98	50.98	0
G25	25.1	23.53	23.53	0
H25	62.35	68.63	68.63	0
I25	37.65	36.08	36.08	0
J25	12.55	12.16	12.16	0
K25	74.9	92.94	92.94	0
L25	87.45	100	100	0
END_DATA				
