"File created by Curve"
LGOROWLENGTH 12
NUMBER_OF_FIELDS 	45
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B	nm380	nm390	nm400	nm410	nm420	nm430	nm440	nm450	nm460	nm470	nm480	nm490	nm500	nm510	nm520	nm530	nm540	nm550	nm560	nm570	nm580	nm590	nm600	nm610	nm620	nm630	nm640	nm650	nm660	nm670	nm680	nm690	nm700	nm710	nm720	nm730
END_DATA_FORMAT
NUMBER_OF_SETS 300
BEGIN_DATA
289	"A1"	0.00	100.00	100.00	0.00	49.07	70.86	47.17	0.048287	0.041135	0.035096	0.034057	0.033481	0.033172	0.031946	0.032217	0.032691	0.031746	0.034492	0.043913	0.054251	0.051073	0.04116	0.035272	0.032052	0.026783	0.021138	0.022335	0.060938	0.21187	0.446032	0.64132	0.755162	0.814156	0.846952	0.867146	0.87945	0.886105	0.889399	0.890242	0.892215	0.894588	0.897919	0.905443
290	"A2"	100.00	0.00	100.00	0.00	49.72	-65.44	22.10	0.033293	0.042534	0.050042	0.054522	0.056259	0.055948	0.057295	0.062706	0.071267	0.081337	0.108813	0.184612	0.32356	0.432808	0.432879	0.371058	0.293308	0.211156	0.138429	0.091435	0.06738	0.054657	0.045591	0.040612	0.03975	0.0406	0.04386	0.052702	0.064303	0.069276	0.065663	0.05777	0.048056	0.044133	0.052263	0.073971
291	"A3"	100.00	100.00	0.00	0.00	23.77	22.41	-47.53	0.047734	0.077322	0.110666	0.152144	0.189435	0.216576	0.236321	0.235797	0.213954	0.182865	0.151377	0.124254	0.097392	0.07104	0.050518	0.038599	0.029531	0.019862	0.012755	0.011663	0.017802	0.031165	0.040364	0.042147	0.042829	0.04411	0.047424	0.056135	0.067817	0.073205	0.069655	0.061427	0.051407	0.047162	0.055196	0.076595
292	"A4"	0.00	0.00	0.00	100.00	20.20	0.36	2.63	0.01307	0.018715	0.019277	0.022903	0.02427	0.024932	0.025774	0.025929	0.02672	0.027689	0.028669	0.029197	0.029277	0.029656	0.03032	0.030271	0.030416	0.0303	0.030084	0.029763	0.029706	0.029938	0.030218	0.030782	0.031751	0.033	0.03457	0.036546	0.038423	0.040034	0.041121	0.041683	0.042208	0.043282	0.045781	0.048224
293	"A5"	100.00	100.00	100.00	0.00	22.67	0.44	-2.59	0.020105	0.026188	0.028	0.032903	0.036203	0.037113	0.038556	0.040065	0.04047	0.039293	0.042261	0.054458	0.068669	0.067044	0.054626	0.044034	0.035542	0.025723	0.017884	0.015747	0.020977	0.034047	0.042975	0.04445	0.044871	0.045691	0.048828	0.057598	0.068872	0.074102	0.070618	0.062525	0.052297	0.048008	0.055971	0.076858
294	"A6"	50.00	58.00	58.00	0.00	46.37	12.27	8.50	0.06317	0.072209	0.081833	0.097552	0.108513	0.113216	0.115118	0.118261	0.117881	0.11584	0.121498	0.14437	0.177843	0.190394	0.176881	0.159333	0.141513	0.11853	0.095342	0.084965	0.101875	0.153769	0.208604	0.241184	0.257712	0.266988	0.276113	0.290401	0.306362	0.313175	0.309105	0.298737	0.285081	0.278394	0.288466	0.3149
295	"A7"	25.00	28.88	28.88	0.00	70.43	6.08	2.21	0.189639	0.214699	0.253161	0.319089	0.374176	0.395131	0.397801	0.395362	0.393479	0.388312	0.389762	0.411473	0.446864	0.464469	0.451888	0.430697	0.408006	0.377317	0.344137	0.327857	0.345941	0.400378	0.455505	0.492244	0.514951	0.530418	0.543973	0.559388	0.573948	0.580275	0.577653	0.570158	0.560216	0.555966	0.564177	0.584085
296	"A8"	62.50	70.29	70.29	0.00	38.05	12.20	6.21	0.046747	0.050811	0.056707	0.066307	0.07213	0.074443	0.076905	0.078943	0.079957	0.078522	0.083052	0.102487	0.128805	0.134762	0.120043	0.104438	0.089273	0.070392	0.052697	0.045535	0.058558	0.098628	0.14098	0.165324	0.177214	0.183897	0.190924	0.203753	0.218616	0.225019	0.220617	0.210348	0.197357	0.191183	0.200882	0.22614
297	"A9"	37.50	42.99	42.99	0.00	59.53	7.45	5.20	0.122957	0.137023	0.159555	0.195908	0.224949	0.235727	0.239764	0.241296	0.240843	0.238184	0.243449	0.268883	0.307966	0.325649	0.312875	0.291629	0.268969	0.239185	0.207512	0.192361	0.211083	0.266697	0.323387	0.358434	0.377718	0.389861	0.401004	0.415837	0.430817	0.437399	0.433619	0.42423	0.412801	0.407649	0.417144	0.441054
298	"A10"	12.50	15.33	15.33	0.00	81.65	4.49	0.19	0.287663	0.319274	0.375855	0.479883	0.575242	0.608661	0.605902	0.597524	0.59185	0.585652	0.584739	0.599816	0.626433	0.638919	0.627768	0.609537	0.590832	0.565707	0.537779	0.525563	0.540348	0.582453	0.624766	0.657002	0.680118	0.699399	0.716031	0.731525	0.743635	0.749215	0.748495	0.744226	0.739187	0.73695	0.74289	0.755887
299	"A11"	75.00	84.18	84.18	0.00	30.76	13.24	3.71	0.034282	0.038038	0.041998	0.046391	0.049749	0.051365	0.052811	0.0546	0.055025	0.054164	0.057936	0.072918	0.092002	0.09286	0.077891	0.064988	0.053842	0.039904	0.027981	0.024068	0.034134	0.064817	0.097142	0.114691	0.122912	0.127557	0.133355	0.144711	0.158651	0.1647	0.160635	0.150722	0.138184	0.132755	0.142156	0.166248
300	"A12"	87.50	100.00	100.00	0.00	24.66	10.46	0.97	0.024315	0.026242	0.031577	0.035066	0.036305	0.037104	0.03826	0.039835	0.040264	0.038923	0.042343	0.053908	0.067355	0.065695	0.052855	0.042727	0.034624	0.025315	0.017853	0.016062	0.022872	0.043003	0.062653	0.071811	0.075874	0.078508	0.083017	0.093103	0.106049	0.111747	0.107691	0.098448	0.087299	0.082444	0.091536	0.114194
277	"B1"	0.00	95.00	95.00	0.00	50.05	69.15	46.34	0.050589	0.043743	0.03871	0.037737	0.037233	0.036817	0.035279	0.035608	0.036638	0.035492	0.038842	0.049994	0.062574	0.060608	0.049986	0.043694	0.039916	0.033711	0.026638	0.027982	0.071282	0.227489	0.460296	0.650106	0.759659	0.816855	0.848802	0.868996	0.881275	0.887832	0.891332	0.891908	0.893743	0.896343	0.89949	0.906333
278	"B2"	95.00	0.00	95.00	0.00	51.49	-61.37	22.70	0.036031	0.047922	0.054963	0.060601	0.063579	0.063321	0.064333	0.06985	0.078774	0.08924	0.117305	0.193837	0.333752	0.444034	0.446459	0.386935	0.310659	0.22916	0.156035	0.107997	0.082941	0.069643	0.059692	0.054288	0.053289	0.054226	0.057988	0.06768	0.080142	0.08554	0.081841	0.073502	0.062963	0.058505	0.067531	0.090451
279	"B3"	95.00	95.00	0.00	0.00	25.53	23.51	-46.66	0.054978	0.081166	0.11538	0.160753	0.20056	0.228849	0.248763	0.247587	0.225727	0.193987	0.161809	0.13368	0.106129	0.078366	0.056076	0.043221	0.033247	0.022369	0.014251	0.012678	0.019733	0.036548	0.04953	0.053474	0.055268	0.057257	0.061236	0.071157	0.083929	0.089588	0.085418	0.076992	0.065886	0.061158	0.070043	0.092962
280	"B4"	0.00	0.00	0.00	98.00	21.26	0.49	2.46	0.019083	0.019507	0.021453	0.025598	0.027076	0.027409	0.029034	0.028855	0.029194	0.030398	0.031423	0.031893	0.032241	0.032486	0.032928	0.032935	0.032902	0.033088	0.032759	0.032535	0.03248	0.032724	0.033025	0.033679	0.034665	0.036024	0.037767	0.039705	0.041697	0.043445	0.044783	0.045279	0.045623	0.046775	0.049206	0.052136
281	"B5"	98.00	96.94	96.94	0.00	23.52	0.86	-2.56	0.019391	0.027341	0.030427	0.03484	0.038459	0.039349	0.041028	0.042505	0.042822	0.04193	0.045128	0.058094	0.072919	0.071479	0.057757	0.046657	0.037833	0.027427	0.018791	0.016395	0.022173	0.036541	0.046237	0.04806	0.048767	0.049936	0.053482	0.062666	0.074633	0.080038	0.076608	0.068143	0.057395	0.052524	0.060982	0.082621
282	"B6"	50.00	49.00	58.00	0.00	51.52	2.59	11.27	0.072143	0.083316	0.095945	0.113987	0.126332	0.131833	0.133473	0.137096	0.138447	0.1392	0.148887	0.180883	0.230502	0.256218	0.245748	0.224737	0.201429	0.171454	0.140684	0.125147	0.139283	0.183861	0.227177	0.251912	0.265026	0.273095	0.28184	0.296229	0.312005	0.319014	0.314604	0.304116	0.290686	0.283695	0.29376	0.320394
283	"B7"	25.00	23.88	28.88	0.00	72.70	2.70	2.69	0.195955	0.226857	0.269607	0.34102	0.400424	0.422168	0.423693	0.421165	0.420584	0.416926	0.420741	0.446094	0.487055	0.509376	0.498383	0.476441	0.452219	0.419688	0.384696	0.366557	0.380525	0.425964	0.470957	0.501372	0.521101	0.535454	0.548532	0.56358	0.577979	0.584446	0.581703	0.573742	0.564013	0.559587	0.567981	0.587685
284	"B8"	62.50	61.28	70.29	0.00	41.18	5.61	7.86	0.049875	0.055528	0.062479	0.072272	0.08022	0.08265	0.084961	0.087672	0.089419	0.089063	0.09588	0.120565	0.155985	0.168697	0.154126	0.13565	0.117107	0.093556	0.070953	0.060642	0.07293	0.110965	0.148749	0.169543	0.179719	0.18588	0.192943	0.205987	0.22084	0.227258	0.222806	0.212483	0.199145	0.193052	0.202959	0.228531
285	"B9"	37.50	35.99	42.99	0.00	62.60	2.78	6.19	0.130205	0.149263	0.174517	0.214507	0.246472	0.258538	0.26315	0.265205	0.265689	0.263835	0.271195	0.301593	0.349649	0.375689	0.36496	0.342038	0.316478	0.282998	0.247399	0.229018	0.244008	0.292542	0.340628	0.370218	0.38728	0.398484	0.409322	0.424167	0.439711	0.446331	0.442753	0.432911	0.420708	0.414819	0.424023	0.448107
286	"B10"	12.50	12.33	15.33	0.00	82.81	2.59	0.56	0.291296	0.326709	0.382513	0.491353	0.590274	0.624557	0.62151	0.612859	0.608265	0.603944	0.604202	0.621937	0.652043	0.66794	0.657399	0.638939	0.619356	0.593945	0.565288	0.552072	0.563766	0.598987	0.633473	0.660091	0.681328	0.69964	0.715917	0.73132	0.744014	0.749787	0.748691	0.744556	0.739879	0.737572	0.743375	0.756364
287	"B11"	75.00	75.15	84.18	0.00	33.81	7.38	6.42	0.040165	0.04171	0.045055	0.04968	0.052959	0.054103	0.05638	0.058467	0.059621	0.059537	0.064982	0.084582	0.111115	0.11744	0.102764	0.087452	0.073527	0.055904	0.039889	0.033809	0.043925	0.074618	0.104995	0.120527	0.127966	0.132622	0.138595	0.15025	0.164486	0.170801	0.166636	0.156487	0.143466	0.137932	0.147618	0.17231
288	"B12"	87.50	90.96	100.00	0.00	26.37	7.76	1.63	0.029222	0.030111	0.0342	0.037343	0.038736	0.040315	0.041323	0.043384	0.043922	0.042931	0.047123	0.0613	0.078093	0.077544	0.063206	0.051734	0.042331	0.030851	0.021123	0.018225	0.025978	0.047564	0.066977	0.075455	0.079328	0.081921	0.086558	0.097065	0.110445	0.116264	0.112154	0.102625	0.091066	0.085754	0.094832	0.11813
265	"C1"	0.00	90.00	90.00	0.00	51.70	66.04	45.13	0.057582	0.049497	0.044115	0.043567	0.044065	0.043319	0.042407	0.042576	0.043116	0.042092	0.045693	0.058859	0.075365	0.076079	0.065887	0.059319	0.05573	0.048444	0.039698	0.040998	0.08876	0.249385	0.47878	0.662158	0.766663	0.821527	0.852988	0.872365	0.884445	0.891277	0.89436	0.894762	0.896808	0.899898	0.90259	0.90893
266	"C2"	90.00	0.00	90.00	0.00	53.59	-56.49	23.25	0.038674	0.052251	0.061357	0.067586	0.072268	0.072583	0.074236	0.080137	0.089025	0.099916	0.128745	0.205869	0.345926	0.45728	0.461777	0.405067	0.33091	0.250917	0.177825	0.129476	0.103602	0.089623	0.079186	0.073521	0.072625	0.073649	0.077787	0.088209	0.101317	0.10696	0.103026	0.094044	0.08292	0.077737	0.087236	0.111443
267	"C3"	90.00	90.00	0.00	0.00	27.67	23.81	-45.20	0.059974	0.088282	0.122906	0.16903	0.2113	0.24053	0.260951	0.260299	0.23837	0.20635	0.173622	0.145092	0.116617	0.088273	0.064261	0.050038	0.03935	0.027047	0.017124	0.014878	0.022899	0.04305	0.060196	0.066992	0.070239	0.072889	0.077345	0.087728	0.101295	0.107427	0.103457	0.093926	0.08243	0.077386	0.086628	0.110162
268	"C4"	0.00	0.00	0.00	95.00	23.58	0.60	2.40	0.022326	0.025735	0.026086	0.030694	0.032148	0.03355	0.03489	0.035424	0.035634	0.036616	0.037686	0.038144	0.038569	0.038916	0.039349	0.039413	0.039348	0.039587	0.039336	0.039081	0.038981	0.039301	0.039764	0.04056	0.041596	0.043084	0.045125	0.047284	0.049423	0.051055	0.052338	0.053147	0.053711	0.054756	0.057498	0.060865
269	"C5"	95.00	92.47	92.47	0.00	25.28	1.07	-1.83	0.022219	0.030314	0.034063	0.03855	0.041656	0.04315	0.04458	0.0465	0.047211	0.046361	0.050287	0.06452	0.081048	0.080055	0.065686	0.053634	0.043539	0.031639	0.021584	0.01838	0.024787	0.041075	0.052826	0.055713	0.057055	0.058826	0.062713	0.072449	0.085235	0.091021	0.086918	0.078249	0.0669	0.061866	0.070798	0.093233
270	"C6"	50.00	40.00	58.00	0.00	55.26	-4.55	13.08	0.077049	0.089586	0.104472	0.126236	0.141341	0.14736	0.149205	0.152992	0.155776	0.158697	0.171802	0.211307	0.274481	0.312275	0.304867	0.280945	0.252806	0.216792	0.17987	0.159598	0.168707	0.204868	0.238808	0.257759	0.268493	0.275694	0.284252	0.298603	0.314512	0.321555	0.31751	0.306825	0.292775	0.286112	0.296299	0.323328
271	"C7"	25.00	18.88	28.88	0.00	74.64	-0.40	3.47	0.203776	0.234624	0.279964	0.354932	0.417834	0.441103	0.442936	0.4414	0.441311	0.439044	0.445213	0.474183	0.522024	0.550073	0.541723	0.518653	0.492682	0.458517	0.421769	0.401734	0.411283	0.448024	0.483384	0.507464	0.524584	0.538155	0.551115	0.566023	0.580449	0.586872	0.584073	0.576222	0.566257	0.561832	0.570081	0.589981
272	"C8"	62.50	52.26	70.29	0.00	45.15	-2.28	10.11	0.053826	0.061425	0.069757	0.082005	0.08999	0.093109	0.095601	0.099138	0.101992	0.103111	0.11328	0.145406	0.193257	0.216085	0.203084	0.181169	0.157043	0.127123	0.097844	0.083116	0.093312	0.127447	0.158875	0.175396	0.18387	0.189278	0.196001	0.209067	0.224327	0.230755	0.225985	0.215724	0.20209	0.195891	0.206111	0.231964
273	"C9"	37.50	28.99	42.99	0.00	65.45	-2.18	7.49	0.138593	0.158834	0.187367	0.230929	0.265286	0.277723	0.281597	0.284585	0.287087	0.287673	0.298531	0.334823	0.392253	0.426825	0.41888	0.394168	0.365597	0.32857	0.289638	0.26822	0.278172	0.317089	0.354199	0.376824	0.390845	0.400913	0.411436	0.426001	0.441081	0.447515	0.443866	0.434229	0.422486	0.417049	0.426639	0.451016
