CGATS.17

ORIGINATOR	"Idealliance SCCA Calculator"
DESCRIPTOR	"GRACoL2013 CRPC6 IT8.7-5 (TC1617), Reference Data"
MEASUREMENT_SOURCE	"MeasurementCondition=M1 Filter=D50"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"D50"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"Reference"
CREATED	"4/13/20 11:00 AM"

LGOROWLENGTH	49

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT

NUMBER_OF_SETS	1617
BEGIN_DATA
857	40	10	40	20	26.258	30.520	21.544	62.10	-12.55	6.83
331	0	70	40	0	40.950	27.792	14.808	59.70	49.54	17.71
1070	100	100	100	40	2.548	2.651	2.136	18.59	-0.16	0.48
813	10	100	20	20	19.978	10.940	8.834	39.48	56.73	0.69
1537	20	0	10	10	51.826	56.504	50.862	79.90	-6.83	-4.86
677	30	10	100	0	40.183	46.161	6.720	73.65	-12.95	67.88
147	85	20	10	0	16.437	22.012	40.116	54.04	-24.66	-36.50
332	0	85	40	0	36.144	21.257	11.197	53.23	62.11	16.59
199	40	0	20	0	45.216	53.178	49.432	77.98	-16.63	-6.56
713	85	10	100	0	11.464	20.782	6.796	52.71	-50.30	31.45
275	30	40	30	0	34.863	32.716	26.968	63.93	11.68	0.05
1381	10	6	6	20	46.139	47.865	42.671	74.74	-0.04	-4.08
983	40	40	20	40	13.815	13.434	13.876	43.41	5.56	-7.96
1190	70	100	100	60	3.153	2.679	1.562	18.71	10.28	6.54
247	0	30	30	0	60.058	54.444	32.800	78.72	18.73	16.26
1110	40	100	20	60	5.711	3.792	4.086	22.97	26.93	-6.25
146	85	10	10	0	17.920	25.097	44.373	57.17	-30.05	-36.48
77	100	40	0	0	11.053	13.921	35.546	44.12	-16.25	-47.39
748	40	0	0	20	32.818	37.446	45.537	67.61	-11.29	-19.89
516	30	20	70	0	38.421	41.781	14.398	70.72	-5.86	37.76
649	0	0	100	0	69.631	74.164	7.038	89.00	-4.00	93.00
767	0	10	10	20	50.572	50.279	39.526	76.24	5.64	2.55
1108	40	40	20	60	8.394	8.212	8.313	34.42	4.27	-6.13
506	20	10	70	0	49.434	53.963	16.071	78.44	-6.89	46.90
468	70	100	55	0	9.442	6.771	7.747	31.28	26.67	-9.38
1010	40	100	40	40	8.464	5.495	4.911	28.10	32.13	-2.05
1080	20	100	0	60	7.546	4.549	5.010	25.41	35.38	-7.21
785	40	10	10	20	28.847	32.142	35.170	63.46	-8.09	-13.51
1275	100	0	40	100	0.913	1.254	1.381	10.95	-10.39	-4.69
736	10	0	0	20	50.057	52.772	50.073	77.74	-2.20	-7.70
483	100	55	55	0	7.015	9.745	12.777	37.38	-21.36	-15.36
936	70	20	100	20	11.582	16.567	4.904	47.71	-27.91	31.80
1133	40	40	40	60	7.943	7.989	6.370	33.96	2.21	0.98
538	55	70	70	0	15.457	13.279	7.989	43.18	16.53	10.20
1574	40	20	40	10	29.162	32.349	23.474	63.63	-7.61	5.76
869	100	10	40	20	8.226	14.012	18.255	44.25	-39.59	-17.08
1038	70	40	70	40	7.302	8.869	5.752	35.73	-11.43	6.88
31	30	30	0	0	42.468	40.949	49.101	70.14	9.13	-19.70
480	100	20	55	0	9.488	16.724	17.999	47.91	-44.64	-10.20
216	55	100	20	0	13.954	8.664	12.886	35.33	41.26	-19.20
1271	0	100	40	100	1.563	1.213	0.743	10.65	11.68	4.35
11	10	10	0	0	67.743	68.308	66.203	86.16	4.15	-9.70
229	85	30	20	0	14.267	18.764	31.019	50.41	-21.79	-29.84
1233	40	40	70	80	3.957	4.162	2.230	24.20	-0.81	9.29
478	100	0	55	0	11.017	21.470	21.154	53.46	-56.77	-7.29
945	100	100	100	20	3.087	3.211	2.616	20.87	-0.15	0.27
1409	100	0	100	70	2.730	4.974	2.380	26.66	-31.48	12.22
277	30	70	30	0	25.988	19.131	17.031	50.84	34.87	-2.95
630	70	100	85	0	8.671	6.462	4.186	30.55	23.36	6.22
879	0	100	70	20	21.944	12.084	3.816	41.35	58.07	27.09
1075	0	100	0	60	9.345	5.347	4.860	27.70	41.31	-2.47
174	10	20	20	0	58.307	57.161	42.906	80.27	7.86	5.16
1028	20	40	70	40	16.356	15.529	5.883	46.35	8.03	24.57
1484	40	3	40	40	18.157	21.684	15.208	53.69	-13.80	6.34
962	70	20	0	40	10.976	12.899	21.497	42.61	-10.31	-26.68
895	40	40	70	20	18.335	18.713	8.328	50.35	1.53	21.28
1448	40	0	0	3	45.701	52.116	63.849	77.35	-12.53	-22.66
541	70	0	70	0	20.745	31.888	16.188	63.25	-41.99	20.43
903	70	100	70	20	6.704	5.094	4.386	27.00	20.25	-1.06
691	40	70	100	0	19.398	15.566	3.908	46.40	24.01	35.23
115	30	70	10	0	27.385	19.852	22.963	51.67	36.98	-13.90
20	20	10	0	0	59.200	61.133	64.260	82.45	0.61	-14.26
1586	70	0	0	10	23.460	30.274	49.871	61.89	-23.59	-34.80
1160	40	100	70	60	5.186	3.685	2.187	22.60	22.36	6.92
35	30	85	0	0	24.463	15.195	20.178	45.90	49.72	-18.34
871	100	40	40	20	6.466	9.286	13.725	36.53	-23.29	-19.42
159	100	55	10	0	8.949	10.578	25.740	38.86	-10.09	-41.05
746	20	70	0	20	22.505	15.989	18.685	46.96	36.47	-13.35
261	10	100	30	0	28.710	15.313	10.615	46.06	66.38	6.04
1	0	0	0	0	85.014	87.618	76.933	95.00	1.00	-4.00
1124	0	70	40	60	10.811	7.941	4.574	33.86	26.19	9.71
981	40	0	20	40	19.848	23.329	21.653	55.41	-12.58	-4.92
353	30	10	40	0	45.310	50.492	32.048	76.37	-9.42	13.34
422	10	85	55	0	30.512	18.578	8.579	50.19	55.42	20.08
246	0	20	30	0	65.850	62.957	37.129	83.42	11.78	18.16
849	10	100	40	20	19.624	10.940	6.645	39.48	54.97	9.29
37	40	0	0	0	48.400	55.189	67.693	79.15	-12.76	-23.17
1418	3	0	0	3	77.005	79.878	71.772	91.63	-0.03	-5.34
949	0	70	0	40	18.992	13.111	12.454	42.93	36.91	-4.88
1228	0	0	70	80	7.517	8.222	2.897	34.44	-3.82	21.48
19	20	0	0	0	65.125	70.190	72.249	87.09	-5.66	-13.59
1256	100	0	100	80	1.956	3.392	1.749	21.55	-25.50	9.39
56	70	10	0	0	25.715	31.864	54.344	63.23	-19.67	-37.40
843	0	100	40	20	22.704	12.281	6.512	41.66	60.22	13.63
689	40	40	100	0	25.495	26.172	5.268	58.20	1.09	48.00
503	10	85	70	0	29.853	18.285	6.166	49.84	54.46	29.28
1346	0	0	2	0	84.519	87.216	74.475	94.83	0.80	-2.19
1496	0	20	0	10	57.653	54.410	49.627	78.70	13.04	-5.54
631	85	0	85	0	12.923	24.042	10.421	56.13	-55.03	24.02
520	30	70	70	0	24.064	18.218	7.855	49.76	31.35	22.06
1610	70	70	70	10	9.597	9.223	6.866	36.41	5.81	3.05
910	0	0	100	20	46.235	49.579	5.328	75.81	-4.38	78.06
636	85	55	85	0	8.544	11.209	6.598	39.93	-18.17	10.27
1130	20	100	40	60	7.024	4.474	3.164	25.18	31.32	3.56
278	30	85	30	0	22.873	14.585	13.280	45.06	46.33	-3.51
1457	40	40	3	3	30.959	29.214	38.062	60.97	10.61	-21.82
1548	20	20	20	10	41.592	42.086	34.716	70.93	3.09	0.02
1255	70	100	100	80	1.994	1.775	1.123	14.26	6.80	4.43
